wflName nbPart c CM m TM ModelTM
depl-77yTz2-2.xml 50000000 1200 14499 12224 26723 23935
depl-77yTz2-2.xml 50000000 1500 14132 8893 23025 20871
depl-77yTz2-2.xml 50000000 1800 14151 6987 21138 18966
depl-77yTz2-2.xml 50000000 2100 14089 4139 18228 16261
depl-77yTz2-2.xml 50000000 2400 14225 2909 17134 15276
depl-77yTz2-2.xml 50000000 2700 14412 1825 16237 14342
depl-77yTz2-2.xml 50000000 3600 14641 894 15535 14137
depl-77yTz2-2.xml 50000000 4500 15175 1127 16302 16354
depl-77yTz2-2.xml 50000000 5400 16468 1299 17767 16501
depl-77yTz2-2.xml 50000000 6300 15734 527 16261 16731
depl-77yTz2-2.xml 50000000 7200 16271 704 16975 17348
depl-77yTz2-2.xml 50000000 9000 18361 878 19239 17715
depl-77yTz2-2.xml 50000000 10800 21699 625 22324 18931
depl-77yTz2-3.xml 50000000 1200 14127 9663 23790 21173
depl-77yTz2-3.xml 50000000 1500 13771 6775 20546 18536
depl-77yTz2-3.xml 50000000 1800 13748 4091 17839 15879
depl-77yTz2-3.xml 50000000 2100 13806 2567 16373 14483
depl-77yTz2-3.xml 50000000 2400 13819 677 14496 12784
depl-77yTz2-3.xml 50000000 2700 14156 1650 15806 13888
depl-77yTz2-3.xml 50000000 3600 14343 174 14517 13119
depl-77yTz2-3.xml 50000000 4500 15051 772 15823 15737
depl-77yTz2-3.xml 50000000 5400 16408 1067 17475 16136
depl-77yTz2-3.xml 50000000 6300 15540 141 15681 16143
depl-77yTz2-3.xml 50000000 7200 16168 351 16519 16776
depl-77yTz2-3.xml 50000000 9000 18291 713 19004 17395
depl-77yTz2-3.xml 50000000 10800 17014 152 17166 18340
depl-77yTz2-4.xml 50000000 1200 14371 11373 25744 22963
depl-77yTz2-4.xml 50000000 1500 14055 8214 22269 20068
depl-77yTz2-4.xml 50000000 1800 14178 3987 18165 15453
depl-77yTz2-4.xml 50000000 2100 14016 3529 17545 15515
depl-77yTz2-4.xml 50000000 2400 14074 2894 16968 15112
depl-77yTz2-4.xml 50000000 2700 14319 1809 16128 14159
depl-77yTz2-4.xml 50000000 3600 14581 987 15568 14019
depl-77yTz2-4.xml 50000000 4500 15124 788 15912 15916
depl-77yTz2-4.xml 50000000 5400 16444 1233 17677 16396
depl-77yTz2-4.xml 50000000 6300 15719 499 16218 16667
depl-77yTz2-4.xml 50000000 7200 16199 625 16824 17113
depl-77yTz2-4.xml 50000000 9000 18314 1020 19334 17791
depl-77yTz2-4.xml 50000000 10800 21678 157 21835 18433
depl-77yTz2-6.xml 50000000 1200 14482 12288 26770 23906
depl-77yTz2-6.xml 50000000 1500 14142 8632 22774 20517
depl-77yTz2-6.xml 50000000 1800 14051 5658 19709 17548
depl-77yTz2-6.xml 50000000 2100 14113 3717 17830 15736
depl-77yTz2-6.xml 50000000 2400 14186 2935 17121 15209
depl-77yTz2-6.xml 50000000 2700 14376 3101 17477 15500
depl-77yTz2-6.xml 50000000 3600 14630 847 15477 13928
depl-77yTz2-6.xml 50000000 4500 15166 1578 16744 16750
depl-77yTz2-6.xml 50000000 5400 16464 1342 17806 16522
depl-77yTz2-6.xml 50000000 6300 15739 537 16276 16746
depl-77yTz2-6.xml 50000000 7200 16229 445 16674 16980
depl-77yTz2-6.xml 50000000 9000 18342 1006 19348 17806
depl-77yTz2-6.xml 50000000 10800 21699 598 22297 18909
depl-77yTz2-7.xml 50000000 1200 14901 12111 27012 24129
depl-77yTz2-7.xml 50000000 1500 14459 8275 22734 20447
depl-77yTz2-7.xml 50000000 2100 14574 3402 17976 15849
depl-77yTz2-7.xml 50000000 2400 14729 2430 17159 15002
depl-77yTz2-7.xml 50000000 2700 14668 1613 16281 14402
depl-77yTz2-7.xml 50000000 3600 14817 787 15604 14219
depl-77yTz2-7.xml 50000000 4500 15444 489 15933 16155
depl-77yTz2-7.xml 50000000 5400 16591 1023 17614 16580
depl-77yTz2-7.xml 50000000 6300 15892 398 16290 16951
depl-77yTz2-7.xml 50000000 7200 16542 238 16780 17382
depl-77yTz2-7.xml 50000000 9000 18478 674 19152 18161
depl-77yTz2-7.xml 50000000 10800 21758 891 22649 19475
depl-azRwjW-1.xml 50000000 1200 13999 12742 26741 24079
depl-azRwjW-1.xml 50000000 1500 13524 8403 21927 19910
depl-azRwjW-1.xml 50000000 2100 13332 3828 17160 15311
depl-azRwjW-1.xml 50000000 2400 13630 1380 15010 13444
depl-azRwjW-1.xml 50000000 2700 13855 2185 16040 14171
depl-azRwjW-1.xml 50000000 3600 14632 1840 16472 15051
depl-azRwjW-1.xml 50000000 4500 14525 1370 15895 15837
depl-azRwjW-1.xml 50000000 5400 16408 1027 17435 15776
depl-azRwjW-1.xml 50000000 6300 14617 457 15074 16067
depl-azRwjW-1.xml 50000000 7200 15557 1365 16922 17495
depl-azRwjW-1.xml 50000000 9000 18351 1464 19815 17288
depl-azRwjW-1.xml 50000000 10800 21733 629 22362 18116
depl-azRwjW-2.xml 50000000 1200 14542 12539 27081 24068
depl-azRwjW-2.xml 50000000 1500 14164 8155 22319 19964
depl-azRwjW-2.xml 50000000 1800 14045 5607 19652 17378
depl-azRwjW-2.xml 50000000 2100 13999 3779 17778 15793
depl-azRwjW-2.xml 50000000 2400 14296 2689 16985 14884
depl-azRwjW-2.xml 50000000 2700 14092 2033 16125 14092
depl-azRwjW-2.xml 50000000 3600 14841 1827 16668 15341
depl-azRwjW-2.xml 50000000 4500 15085 979 16064 16238
depl-azRwjW-2.xml 50000000 5400 16533 1512 18045 16621
depl-azRwjW-2.xml 50000000 6300 14740 455 15195 16437
depl-azRwjW-2.xml 50000000 7200 16021 784 16805 17579
depl-azRwjW-2.xml 50000000 9000 18410 1473 19883 17644
depl-azRwjW-2.xml 50000000 10800 21772 1464 23236 19255
depl-azRwjW-3.xml 50000000 1200 13824 11394 25218 22597
depl-azRwjW-3.xml 50000000 1500 13353 7789 21142 19137
depl-azRwjW-3.xml 50000000 2100 13229 3125 16354 14494
depl-azRwjW-3.xml 50000000 2400 13448 1180 14628 13101
